Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",186.436000,-158.496000,0.000000,bottom
"C2","0.1uF","C_0805_2012Metric",183.324500,-166.814500,45.000000,bottom
"C3","0.1uF","C_0805_2012Metric",159.766000,-161.798000,180.000000,bottom
"C4","0.1uF","C_0805_2012Metric",167.168751,-175.540749,225.000000,bottom
"C5","0.1uF","C_0805_2012Metric",176.175749,-154.532251,45.000000,bottom
"C7","1uF","C_0805_2012Metric",182.311000,-171.259500,0.000000,bottom
"C8","22pF","C_0805_2012Metric",160.401000,-168.656000,225.000000,bottom
"C9","22pF","C_0805_2012Metric",165.507749,-173.772751,45.000000,bottom
"D1","D_Small","D_SOT-23_ANK",81.724500,-96.901000,270.000000,bottom
"D2","D_Small","D_SOT-23_ANK",119.824500,-96.901000,270.000000,bottom
"D3","D_Small","D_SOT-23_ANK",157.924500,-96.901000,270.000000,bottom
"D4","D_Small","D_SOT-23_ANK",196.024500,-96.901000,270.000000,bottom
"D5","D_Small","D_SOT-23_ANK",234.124500,-96.901000,270.000000,bottom
"D6","D_Small","D_SOT-23_ANK",272.224500,-96.901000,270.000000,bottom
"D7","D_Small","D_SOT-23_ANK",310.324500,-96.901000,270.000000,bottom
"D8","D_Small","D_SOT-23_ANK",348.424500,-96.901000,270.000000,bottom
"D9","D_Small","D_SOT-23_ANK",89.093000,-115.808000,270.000000,bottom
"D10","D_Small","D_SOT-23_ANK",129.349500,-115.824000,270.000000,bottom
"D11","D_Small","D_SOT-23_ANK",167.449500,-115.824000,270.000000,bottom
"D12","D_Small","D_SOT-23_ANK",205.549500,-115.824000,270.000000,bottom
"D13","D_Small","D_SOT-23_ANK",243.586000,-115.824000,270.000000,bottom
"D14","D_Small","D_SOT-23_ANK",281.749500,-115.824000,270.000000,bottom
"D15","D_Small","D_SOT-23_ANK",321.437000,-115.824000,270.000000,bottom
"D16","D_Small","D_SOD-123",348.424500,-115.252500,90.000000,bottom
"D17","D_Small","D_SOT-23_ANK",92.583000,-134.175500,270.000000,bottom
"D18","D_Small","D_SOT-23_ANK",134.048500,-134.175500,270.000000,bottom
"D19","D_Small","D_SOT-23_ANK",172.275500,-134.175500,270.000000,bottom
"D20","D_Small","D_SOT-23_ANK",210.375500,-134.175500,270.000000,bottom
"D21","D_Small","D_SOT-23_ANK",248.412000,-134.175500,270.000000,bottom
"D22","D_Small","D_SOT-23_ANK",286.448500,-135.064500,270.000000,bottom
"D23","D_Small","D_SOT-23_ANK",348.424500,-135.064500,270.000000,bottom
"D24","D_Small","D_SOT-23_ANK",105.537000,-153.543000,270.000000,bottom
"D25","D_Small","D_SOT-23_ANK",124.587000,-153.543000,270.000000,bottom
"D26","D_Small","D_SOT-23_ANK",162.687000,-153.606500,270.000000,bottom
"D27","D_Small","D_SOT-23_ANK",200.787000,-153.606500,270.000000,bottom
"D28","D_Small","D_SOT-23_ANK",238.887000,-153.606500,270.000000,bottom
"D29","D_Small","D_SOT-23_ANK",276.987000,-153.606500,270.000000,bottom
"D30","D_Small","D_SOT-23_ANK",325.437500,-153.606500,270.000000,bottom
"D31","D_Small","D_SOD-123",348.424500,-152.971500,90.000000,bottom
"D32","D_Small","D_SOT-23_ANK",87.376000,-172.466000,270.000000,bottom
"D33","D_Small","D_SOT-23_ANK",136.080500,-172.466000,270.000000,bottom
"D34","D_Small","D_SOD-123",254.254000,-171.767500,90.000000,bottom
"D35","D_Small","D_SOT-23_ANK",304.546000,-172.402500,270.000000,bottom
"D36","D_Small","D_SOT-23_ANK",348.424500,-172.402500,270.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",269.938500,-103.124000,270.000000,bottom
"R1","22","R_0805_2012Metric",263.969500,-119.189500,270.000000,bottom
"R2","22","R_0805_2012Metric",261.429500,-119.189500,270.000000,bottom
"R3","10k","R_0805_2012Metric",168.910000,-153.606500,315.000000,bottom
"R4","470","R_0805_2012Metric",92.686500,-138.747500,0.000000,bottom
"R5","10k","R_0805_2012Metric",223.901000,-168.021000,270.000000,bottom
"RESET1","SW_Push","SKQG-1155865",233.870500,-168.211500,0.000000,bottom
"RGB1","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",186.372500,-102.552500,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",172.085000,-164.274500,135.000000,bottom
"U2","SRV05-4","SOT-23-6",262.763000,-113.919000,0.000000,bottom
"USB1","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",262.763000,-102.870000,180.000000,bottom
"XTAL1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",163.004500,-171.259500,315.000000,bottom
